VisitorTeam	VisitorPTS	HomeTeam	HomePTS	Attendance
CharlotteHornets	113	IndianaPacers	144	16761
MiamiHeat	115	OrlandoMagic	106	19129
MinnesotaTimberwolves	113	Philadelphia76ers	127	20365
NewYorkKnicks	121	BrooklynNets	102	18071
DenverNuggets	113	TorontoRaptors	104	19800
LosAngelesLakers	108	ChicagoBulls	124	21234
AtlantaHawks	134	HoustonRockets	127	18055
LosAngelesClippers	120	DallasMavericks	111	20310
BostonCeltics	144	SacramentoKings	119	17874
UtahJazz	119	DetroitPistons	111	18122
NewOrleansPelicans	123	ClevelandCavaliers	104	19432
SanAntonioSpurs	95	ChicagoBulls	114	20697
IndianaPacers	103	MemphisGrizzlies	116	18160
OrlandoMagic	114	MilwaukeeBucks	118	17928
LosAngelesClippers	115	OklahomaCityThunder	134	18203
LosAngelesLakers	111	MinnesotaTimberwolves	118	18024
WashingtonWizards	118	PortlandTrailBlazers	117	18690
TorontoRaptors	111	Philadelphia76ers	121	20230
DenverNuggets	122	BrooklynNets	117	17732
DallasMavericks	96	HoustonRockets	122	18055
AtlantaHawks	113	MiamiHeat	122	20029
WashingtonWizards	118	GoldenStateWarriors	129	18064
PhoenixSuns	105	SacramentoKings	120	17794
MilwaukeeBucks	130	NewYorkKnicks	111	19812
BostonCeltics	145	LosAngelesClippers	108	19370
DenverNuggets	102	CharlotteHornets	95	19165
OrlandoMagic	117	IndianaPacers	110	17274
HoustonRockets	106	NewOrleansPelicans	104	17399
MemphisGrizzlies	125	AtlantaHawks	119	17632
DetroitPistons	115	BrooklynNets	126	17732
UtahJazz	126	TorontoRaptors	119	19420
ClevelandCavaliers	109	ChicagoBulls	95	19583
LosAngelesLakers	129	OklahomaCityThunder	120	18203
SanAntonioSpurs	119	DallasMavericks	144	20409
PortlandTrailBlazers	106	GoldenStateWarriors	126	18064
MinnesotaTimberwolves	110	SacramentoKings	98	17983
MilwaukeeBucks	122	NewYorkKnicks	129	19812
GoldenStateWarriors	114	DenverNuggets	120	19811
BostonCeltics	126	LosAngelesLakers	115	18997
Philadelphia76ers	113	MiamiHeat	119	20162
DallasMavericks	128	PhoenixSuns	114	17071
BrooklynNets	118	DetroitPistons	112	19811
OrlandoMagic	127	WashingtonWizards	119	16293
AtlantaHawks	113	ChicagoBulls	118	21420
IndianaPacers	123	HoustonRockets	117	18055
MemphisGrizzlies	116	NewOrleansPelicans	115	18538
MinnesotaTimberwolves	106	OklahomaCityThunder	129	18203
UtahJazz	130	SanAntonioSpurs	118	18579
SacramentoKings	113	PortlandTrailBlazers	130	18585
CharlotteHornets	104	LosAngelesClippers	113	19370
Philadelphia76ers	112	OrlandoMagic	92	19179
TorontoRaptors	132	WashingtonWizards	102	15437
MilwaukeeBucks	144	BrooklynNets	122	18199
PhoenixSuns	129	HoustonRockets	113	18055
NewYorkKnicks	120	OklahomaCityThunder	129	18203
ClevelandCavaliers	113	DallasMavericks	110	20377
DetroitPistons	122	BostonCeltics	128	19156
IndianaPacers	120	ChicagoBulls	104	21568
DallasMavericks	110	MinnesotaTimberwolves	118	18024
UtahJazz	105	NewOrleansPelicans	112	17753
MemphisGrizzlies	105	DenverNuggets	142	19733
MiamiHeat	114	GoldenStateWarriors	102	18064
SanAntonioSpurs	118	PortlandTrailBlazers	105	19335
CharlotteHornets	112	LosAngelesLakers	133	18997
NewYorkKnicks	108	OrlandoMagic	117	19587
BrooklynNets	104	WashingtonWizards	110	16825
SacramentoKings	117	AtlantaHawks	110	18305
TorontoRaptors	118	BostonCeltics	120	19156
MilwaukeeBucks	119	ClevelandCavaliers	111	19432
Philadelphia76ers	131	HoustonRockets	127	18055
OklahomaCityThunder	119	DenverNuggets	93	19808
CharlotteHornets	119	PhoenixSuns	133	17071
SanAntonioSpurs	128	PortlandTrailBlazers	134	18861
MemphisGrizzlies	106	LosAngelesClippers	117	19370
MiamiHeat	109	UtahJazz	117	18206
TorontoRaptors	127	DetroitPistons	129	18411
NewYorkKnicks	126	IndianaPacers	140	17274
Philadelphia76ers	92	ChicagoBulls	105	21648
LosAngelesLakers	106	MinnesotaTimberwolves	108	18024
DallasMavericks	132	GoldenStateWarriors	122	18064
AtlantaHawks	130	WashingtonWizards	126	17042
LosAngelesLakers	109	NewOrleansPelicans	129	18434
BrooklynNets	108	OklahomaCityThunder	124	18203
BostonCeltics	134	SanAntonioSpurs	101	18886
SacramentoKings	123	MemphisGrizzlies	92	17794
OrlandoMagic	107	PhoenixSuns	112	17071
MinnesotaTimberwolves	106	NewYorkKnicks	112	19812
ClevelandCavaliers	121	TorontoRaptors	124	19800
DetroitPistons	113	HoustonRockets	136	18055
IndianaPacers	122	MilwaukeeBucks	113	17922
CharlotteHornets	93	DenverNuggets	111	19625
PortlandTrailBlazers	88	PhoenixSuns	109	17071
DallasMavericks	90	UtahJazz	127	18206
MiamiHeat	104	LosAngelesClippers	121	19370
ChicagoBulls	97	Philadelphia76ers	110	19772
SanAntonioSpurs	98	MemphisGrizzlies	106	17794
BrooklynNets	85	NewOrleansPelicans	112	16253
BostonCeltics	123	OklahomaCityThunder	127	18203
OrlandoMagic	115	GoldenStateWarriors	121	18064
CharlotteHornets	111	SacramentoKings	104	17832
WashingtonWizards	101	ClevelandCavaliers	140	19432
MilwaukeeBucks	130	IndianaPacers	142	17274
OklahomaCityThunder	138	AtlantaHawks	141	17770
BrooklynNets	101	HoustonRockets	112	16563
TorontoRaptors	116	MemphisGrizzlies	111	16385
NewOrleansPelicans	117	MinnesotaTimberwolves	106	18024
PortlandTrailBlazers	97	DallasMavericks	126	20077
ChicagoBulls	100	NewYorkKnicks	116	19812
LosAngelesClippers	131	PhoenixSuns	122	17071
DetroitPistons	148	UtahJazz	154	18206
MiamiHeat	110	LosAngelesLakers	96	18997
OrlandoMagic	135	SacramentoKings	138	17832
MilwaukeeBucks	125	SanAntonioSpurs	121	19082
DenverNuggets	130	GoldenStateWarriors	127	18064
UtahJazz	97	BostonCeltics	126	19156
AtlantaHawks	116	IndianaPacers	150	17274
OklahomaCityThunder	115	BrooklynNets	124	18147
WashingtonWizards	90	ClevelandCavaliers	114	19432
NewYorkKnicks	128	Philadelphia76ers	92	20461
CharlotteHornets	91	ChicagoBulls	104	21345
MinnesotaTimberwolves	122	HoustonRockets	95	18055
LosAngelesClippers	111	NewOrleansPelicans	95	18329
PortlandTrailBlazers	103	DallasMavericks	139	20162
OrlandoMagic	122	DenverNuggets	120	19659
MiamiHeat	97	PhoenixSuns	113	17071
DetroitPistons	109	GoldenStateWarriors	113	18064
MemphisGrizzlies	127	LosAngelesLakers	113	18997
TorontoRaptors	130	SacramentoKings	135	17941
BostonCeltics	118	IndianaPacers	101	17274
NewYorkKnicks	121	WashingtonWizards	105	20333
UtahJazz	120	Philadelphia76ers	109	20278
MilwaukeeBucks	108	HoustonRockets	112	18055
SanAntonioSpurs	115	ClevelandCavaliers	117	19432
PortlandTrailBlazers	134	BrooklynNets	127	17732
AtlantaHawks	110	OrlandoMagic	117	19349
NewOrleansPelicans	133	SacramentoKings	100	17832
MinnesotaTimberwolves	108	DallasMavericks	115	20111
DetroitPistons	114	DenverNuggets	131	19623
MemphisGrizzlies	121	PhoenixSuns	115	17071
TorontoRaptors	133	GoldenStateWarriors	118	18064
LosAngelesClippers	103	LosAngelesLakers	106	18997
ChicagoBulls	119	CharlotteHornets	112	14418
BostonCeltics	131	IndianaPacers	133	16009
OklahomaCityThunder	136	WashingtonWizards	128	15297
HoustonRockets	113	MiamiHeat	120	19694
UtahJazz	132	MilwaukeeBucks	116	17341
PhoenixSuns	111	LosAngelesClippers	138	19370
SacramentoKings	131	DetroitPistons	110	13992
MinnesotaTimberwolves	113	OrlandoMagic	92	19223
PortlandTrailBlazers	84	NewYorkKnicks	112	19812
MemphisGrizzlies	120	DallasMavericks	103	20116
TorontoRaptors	131	LosAngelesLakers	132	18997
MinnesotaTimberwolves	120	BostonCeltics	127	19156
SacramentoKings	123	CharlotteHornets	98	14173
SanAntonioSpurs	130	DetroitPistons	108	17833
WashingtonWizards	104	IndianaPacers	112	15721
Philadelphia76ers	132	AtlantaHawks	139	16089
OklahomaCityThunder	128	MiamiHeat	120	19636
HoustonRockets	119	ChicagoBulls	124	21149
NewOrleansPelicans	141	GoldenStateWarriors	105	18064
DenverNuggets	111	UtahJazz	124	18206
TorontoRaptors	120	LosAngelesClippers	126	19370
BrooklynNets	102	ClevelandCavaliers	111	15887
BostonCeltics	102	MilwaukeeBucks	135	17781
PortlandTrailBlazers	77	OklahomaCityThunder	139	15828
NewYorkKnicks	124	DallasMavericks	128	20040
PhoenixSuns	127	LosAngelesLakers	109	18416
IndianaPacers	126	AtlantaHawks	108	15596
HoustonRockets	112	DetroitPistons	110	13987
SacramentoKings	93	Philadelphia76ers	112	19766
GoldenStateWarriors	140	ChicagoBulls	131	21153
LosAngelesClippers	128	MemphisGrizzlies	119	16617
OrlandoMagic	96	MiamiHeat	99	19650
PortlandTrailBlazers	93	MinnesotaTimberwolves	116	18024
CharlotteHornets	99	SanAntonioSpurs	135	18073
TorontoRaptors	113	UtahJazz	145	18206
NewOrleansPelicans	113	DenverNuggets	125	19638
HoustonRockets	113	BostonCeltics	145	19156
WashingtonWizards	127	AtlantaHawks	99	17108
NewYorkKnicks	106	MemphisGrizzlies	94	16598
GoldenStateWarriors	118	MilwaukeeBucks	129	18009
OrlandoMagic	100	OklahomaCityThunder	112	18203
NewOrleansPelicans	118	DallasMavericks	108	20155
ChicagoBulls	122	SanAntonioSpurs	116	18354
LosAngelesLakers	125	UtahJazz	132	18206
IndianaPacers	109	DenverNuggets	117	19631
CharlotteHornets	87	MiamiHeat	104	19831
SacramentoKings	142	MilwaukeeBucks	143	17612
LosAngelesClippers	105	MinnesotaTimberwolves	109	18024
PhoenixSuns	127	PortlandTrailBlazers	116	18071
HoustonRockets	115	Philadelphia76ers	124	20822
NewOrleansPelicans	120	DallasMavericks	125	20010
OrlandoMagic	98	NewYorkKnicks	94	19812
DetroitPistons	129	WashingtonWizards	117	15156
SanAntonioSpurs	99	AtlantaHawks	109	17447
GoldenStateWarriors	107	MemphisGrizzlies	116	16612
ChicagoBulls	91	ClevelandCavaliers	109	19432
MiamiHeat	96	BrooklynNets	95	17893
BostonCeltics	105	TorontoRaptors	96	19278
IndianaPacers	105	UtahJazz	132	18206
OklahomaCityThunder	105	LosAngelesLakers	112	18997
DenverNuggets	121	Philadelphia76ers	126	19775
SacramentoKings	117	PhoenixSuns	119	17071
OklahomaCityThunder	117	LosAngelesClippers	128	19370
MinnesotaTimberwolves	124	DetroitPistons	117	16022
OrlandoMagic	104	AtlantaHawks	106	14541
SanAntonioSpurs	98	BostonCeltics	117	19156
MilwaukeeBucks	95	ClevelandCavaliers	135	19432
